"Data generated on Thursday, April 23, 2026 at 10:34:02 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Cumulative To Date Quantities/Unit Values in Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,
,Partner,,HS Code,Product,Year,UOM,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Period/Period %  Change (Unit Value),Reporter Code,Partner Code,Product Code,
"1","China","2","0402","Milk Concentrated","2019-2019","MT","2,395.3","498.9","2,410.6","796.6","3,199.9","306.7","3,445.9","350.1","2,562.2","747.1","3,314.7","514.8","3,318.9","672.0","3,157.1","318.1","2,855.6","548.5","2,888.2","631.4","2,517.2","3,637.2","2,719.7","2,153.4","2,734.8","11,174.9","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2020-2020","MT","3,528.2","308.8","3,898.3","484.9","3,285.7","202.7","2,872.7","1,023.6","2,595.8","3,815.3","1,949.5","4,770.3","2,282.1","2,081.4","2,384.0","6,082.4","2,318.3","3,367.2","2,413.9","4,343.6","2,375.8","3,099.7","2,479.8","1,907.6","2,395.4","31,487.6","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2021-2021","MT","2,454.2","1,956.6","2,427.8","2,608.1","2,550.3","5,487.1","2,457.1","5,593.3","2,661.7","6,431.7","2,743.8","6,939.4","2,861.1","7,826.3","2,952.4","5,482.8","2,918.9","6,489.1","2,862.4","2,779.2","2,734.5","2,997.6","3,108.8","3,183.5","2,745.2","57,774.8","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2022-2022","MT","2,909.2","3,774.3","3,326.7","4,729.9","3,339.6","3,862.7","3,647.6","4,798.2","3,864.5","4,227.1","4,058.4","5,234.0","4,166.6","5,805.2","4,131.3","4,221.3","3,914.9","4,067.2","3,704.5","3,569.4","3,810.8","4,186.3","3,464.3","4,618.8","3,718.3","53,094.4","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2023-2023","MT","3,238.0","2,819.8","3,102.3","2,367.7","2,959.4","2,428.9","2,779.5","2,646.4","2,956.7","2,045.5","2,934.2","1,181.1","2,807.3","1,309.6","2,795.9","1,333.0","2,547.2","2,217.8","2,626.2","1,362.3","3,222.0","963.0","2,988.6","736.5","2,917.4","21,411.8","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2024-2024","MT","3,192.9","785.4","3,031.9","687.2","2,823.8","1,351.4","2,851.6","852.0","2,635.3","1,505.4","2,869.6","658.0","2,862.6","952.3","2,769.6","814.0","2,845.3","1,142.4","2,764.1","1,144.1","2,713.0","845.6","2,966.7","1,155.9","2,842.6","11,893.8","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2025-2025","MT","2,702.6","424.9","2,801.3","518.4","2,811.8","585.7","2,929.5","379.1","2,800.0","309.3","2,306.2","596.7","2,837.6","333.5","2,716.9","409.4","2,772.8","250.0","2,846.8","690.8","2,922.0","270.5","2,770.4","395.5","2,750.8","5,163.8","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2026-2026","MT","2,467.1","370.8","","","","","","","","","","","","","","","","","","","","","","","2,467.1","370.8","","US","CH","0402",
"1","China","3","0404","Whey, Natural Milk","2005-2005","MT","474.2","3,911.4","465.5","6,287.3","533.3","8,764.1","470.9","9,341.6","443.8","6,394.9","432.9","4,004.0","379.6","4,413.4","418.5","5,379.1","414.0","6,086.4","493.0","4,625.4","506.5","4,534.0","436.6","4,508.5","460.3","68,249.9","","US","CH","0404",
"1","China","3","0404","Whey, Natural Milk","2006-2006","MT","555.3","3,694.0","583.9","6,039.4","692.0","8,593.6","680.2","7,818.3","703.0","6,004.5","944.9","4,876.0","706.8","5,117.0","776.7","3,210.6","799.0","5,105.7","852.9","4,002.6","1,323.9","3,476.5","1,205.4","4,563.5","790.0","62,501.7","","US","CH","0404",
