date,source_region,cmd_code,cmd_desc,import_value_usd,net_weight_kg
10/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9019610,2607756
10/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",55152,17826
10/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16183429,9245516
10/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,663083,115583
10/1/10,EU-27,0406,Cheese and curd,1414796,199808
10/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1432932,550868
10/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,74021488,19260079
10/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",69067,10528
10/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",388672,0
10/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,5506774,1356812
10/1/10,New Zealand,0406,Cheese and curd,3378647,812829
11/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1106600,739006
11/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,7282056,2286051
11/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",183574,60877
11/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16002973,9114806
11/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,619462,96657
11/1/10,EU-27,0406,Cheese and curd,1618657,194485
11/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2019382,858850
11/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,109681078,31121110
11/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",19573,5195
11/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",829000,300000
11/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,8349472,1898616
11/1/10,New Zealand,0406,Cheese and curd,5804724,1373189
12/1/10,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1420678,1114944
12/1/10,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,13300209,4300665
12/1/10,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",102819,39161
12/1/10,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",15906619,8978220
12/1/10,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,969745,151971
12/1/10,EU-27,0406,Cheese and curd,2213671,286992
12/1/10,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1875498,905868
12/1/10,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,121414153,36208019
12/1/10,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",12805,3408
12/1/10,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2164057,683675
12/1/10,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,7718312,1817007
12/1/10,New Zealand,0406,Cheese and curd,3844191,920296
1/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1378846,878602
1/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,6449068,2086104
1/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",230052,84594
1/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",23537655,12768476
1/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1489437,246382
1/1/11,EU-27,0406,Cheese and curd,1668524,220505
1/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2437425,1149276
1/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,165622872,47684668
1/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",623959,197427
1/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",1102728,372400
1/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,14952470,3307462
1/1/11,New Zealand,0406,Cheese and curd,4468903,1043583
2/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,673474,440897
2/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,4527723,1498045
2/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",133625,61301
2/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",14788173,8546458
2/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,761165,128756
2/1/11,EU-27,0406,Cheese and curd,909821,116169
2/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2027964,933191
2/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,143821500,40787524
2/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",81418,26841
2/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2875816,554210
2/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,9717597,2018263
2/1/11,New Zealand,0406,Cheese and curd,3498986,832843
3/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2126881,1622429
3/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,9978301,3118766
3/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",291672,97268
3/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16846099,8659490
3/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1113971,165627
3/1/11,EU-27,0406,Cheese and curd,2116027,293027
3/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2871217,1129505
3/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,180171380,51114990
3/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",262721,65312
3/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",4256904,601511
3/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,14910917,3012994
3/1/11,New Zealand,0406,Cheese and curd,5163094,1187332
4/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1867826,1313055
4/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,5548170,1717781
4/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",387309,112504
4/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",17773897,9351420
4/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,789591,124294
4/1/11,EU-27,0406,Cheese and curd,1964605,251746
4/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2215836,950716
4/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,215104277,59480821
4/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",423172,130433
4/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",5757020,869595
4/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,14864354,2889958
4/1/11,New Zealand,0406,Cheese and curd,4943734,1160007
5/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,1669047,1345023
5/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,11296891,3263337
5/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",414867,124055
5/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16622788,8374975
5/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,1560006,231099
5/1/11,EU-27,0406,Cheese and curd,1874183,207420
5/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2416039,1153692
5/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,122498467,32298195
5/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",18985,5136
5/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",5264090,752480
5/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,19248461,3666507
5/1/11,New Zealand,0406,Cheese and curd,4417589,975114
6/1/11,EU-27,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2213404,2159573
6/1/11,EU-27,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,2878301,774613
6/1/11,EU-27,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",166895,42567
6/1/11,EU-27,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",17762243,8524700
6/1/11,EU-27,0405,Butter and other fats and oils derived from milk; dairy spreads,719030,100165
6/1/11,EU-27,0406,Cheese and curd,909299,106622
6/1/11,New Zealand,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,2329212,1111382
6/1/11,New Zealand,0402,Milk and cream; concentrated or containing added sugar or other sweetening matter,98104572,24247942
6/1/11,New Zealand,0403,"Buttermilk, curdled milk and cream, yoghurt, kephir, fermented or acidified milk or cream, whether or not concentrated, containing added sugar, sweetening matter, flavoured or added fruit or cocoa",162875,35311
6/1/11,New Zealand,0404,"Whey and products consisting of natural milk constituents; whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",446204,50840
6/1/11,New Zealand,0405,Butter and other fats and oils derived from milk; dairy spreads,12285699,2119231
6/1/11,New Zealand,0406,Cheese and curd,7162339,1648756
